player_display_name,position,recent_team,pred,y_test,value_over_next_best
Patrick Mahomes,QB,KC,45.9263534545899,36.44,0.984016418457031
Josh Allen,QB,BUF,44.9423370361328,39.28,1.76613235473633
Jalen Hurts,QB,PHI,43.1762046813965,38.3,5.92895889282227
Justin Jefferson,WR,MIN,42.5246200561524,11.62,5.51187515258789
Austin Ekeler,RB,LAC,39.8341369628906,18.3,10.0097198486328
Joe Burrow,QB,CIN,37.2472457885742,55.84,4.18101501464844
Stefon Diggs,WR,BUF,37.0127449035645,25.9,1.72708892822266
Tyreek Hill,WR,MIA,35.2856559753418,16.4,0.588920593261719
Travis Kelce,TE,KC,35.0837821960449,56.6,10.978328704834
CeeDee Lamb,WR,DAL,34.6967353820801,39.1,0.257881164550781
A.J. Brown,WR,PHI,34.4388542175293,12,4.48605728149414
Trevor Lawrence,QB,JAX,33.0662307739258,35.6,0.225914001464844
Kirk Cousins,QB,MIN,32.8403167724609,25.82,1.51342391967773
Geno Smith,QB,SEA,31.3268928527832,16.92,1.49515342712402
DeVonta Smith,WR,PHI,29.9527969360352,23.7,2.62122535705566
Justin Herbert,QB,LAC,29.8317394256592,16.12,0.20591926574707
Saquon Barkley,RB,NYG,29.8244171142578,38.1,0.953420639038086
Daniel Jones,QB,NYG,29.6258201599121,33.64,2.83530235290527
Tony Pollard,RB,DAL,28.8709964752197,17.2,1.20609855651855
Christian McCaffrey,RB,SF,27.6648979187012,59.9,1.37567901611328
Christian Kirk,WR,JAX,27.3315715789795,41.8,0.532876968383789
Brandon Aiyuk,WR,SF,26.7986946105957,16.9,0.866176605224609
Tom Brady,QB,TB,26.7905178070068,22.04,3.05137634277344
Dalvin Cook,RB,MIN,26.2892189025879,13,1.62392044067383
Jaylen Waddle,WR,MIA,25.9325180053711,8.2,0.0270347595214844
Ja'Marr Chase,WR,CIN,25.9054832458496,54.3,1.47830963134766
Miles Sanders,RB,PHI,24.6652984619141,26.5,0.420034408569336
Tee Higgins,WR,CIN,24.427173614502,35.8,0.423734664916992
Joe Mixon,RB,CIN,24.2452640533447,35.3,1.87224578857422
George Kittle,TE,SF,24.1054534912109,28.8,4.73352241516113
Tyler Lockett,WR,SEA,24.003438949585,9.9,0.524772644042969
Lamar Jackson,QB,BAL,23.7391414642334,0,0.821804046630859
DK Metcalf,WR,SEA,23.478666305542,35.6,1.58291625976563
Dak Prescott,QB,DAL,22.9173374176025,47.04,0.159151077270508
Tua Tagovailoa,QB,MIA,22.758186340332,0,2.67387771606445
Leonard Fournette,RB,TB,22.3730182647705,2.7,0.12120246887207
Ezekiel Elliott,RB,DAL,22.2518157958984,9.9,0.0735397338867188
Travis Etienne,RB,JAX,22.1782760620117,30.1,0.713228225708008
Chris Godwin,WR,TB,21.8957500457764,18.5,0.358604431152344
Mike Evans,WR,TB,21.537145614624,15.4,0.029449462890625
Zay Jones,WR,JAX,21.5076961517334,34.7,0.72320556640625
Jerick McKinnon,RB,KC,21.4650478363037,6.3,0.357152938842773
Devin Singletary,RB,BUF,21.1078948974609,16,1.49823570251465
JuJu Smith-Schuster,WR,KC,20.7844905853272,6.6,0.450601577758789
Gabe Davis,WR,BUF,20.3338890075684,28.7,0.069244384765625
Adam Thielen,WR,MIN,20.2646446228027,8,0.0158233642578125
Deebo Samuel,WR,SF,20.2488212585449,41.5,1.54730224609375
Jimmy Garoppolo,QB,SF,20.0843086242676,0,5.50350284576416
Kenneth Walker,RB,SEA,19.6096591949463,13.6,3.78641223907471
Mark Andrews,TE,BAL,19.3719310760498,12.3,0.375358581542969
Evan Engram,TE,JAX,18.9965724945068,30.4,2.07198905944824
Mike Williams,WR,LAC,18.7015190124512,0,0.660717010498047
Tyler Boyd,WR,CIN,18.0408020019531,14.9,0.295797348022461
