offense,offense_conference,pass_rate_standard_downs,cfb_pass_standard,pass_vs_avg_standard,pass_rate_passing_downs,cfb_pass_passing,pass_vs_avg_passing
Abilene Christian,,0.488,0.405482481666861,0.20350452131477,0.736111111111111,0.634010190319197,0.161039873413566
Air Force,Mountain West,0.105839416058394,0.405482481666861,-0.738979066066409,0.343434343434343,0.634010190319197,-0.458314158544614
Akron,Mid-American,0.422018348623853,0.405482481666861,0.0407807185381148,0.581560283687943,0.634010190319197,-0.0827272296756734
Alabama,SEC,0.438914027149321,0.405482481666861,0.082448803571069,0.649789029535865,0.634010190319197,0.0248873590008453
Appalachian State,Sun Belt,0.298586572438163,0.405482481666861,-0.2636264550549,0.539855072463768,0.634010190319197,-0.148507262648295
Arizona,Pac-12,0.476987447698745,0.405482481666861,0.176345389171786,0.67910447761194,0.634010190319197,0.0711254929042078
Arizona State,Pac-12,0.274853801169591,0.405482481666861,-0.322156163098047,0.552941176470588,0.634010190319197,-0.127867051802107
Arkansas,SEC,0.406521739130435,0.405482481666861,0.00256301445947035,0.60093896713615,0.634010190319197,-0.0521619741890846
Arkansas State,Sun Belt,0.525735294117647,0.405482481666861,0.296567220256841,0.66996699669967,0.634010190319197,0.0567132940913307
Army,FBS Independents,0.0576208178438662,0.405482481666861,-0.857895666399697,0.209486166007905,0.634010190319197,-0.669585490570052
Auburn,SEC,0.43030303030303,0.405482481666861,0.0612123821826706,0.656370656370656,0.634010190319197,0.0352683070286332
Austin Peay,,0.551282051282051,0.405482481666861,0.359570576306618,0.615384615384615,0.634010190319197,-0.0293774062609376
Ball State,Mid-American,0.363636363636364,0.405482481666861,-0.103200803789292,0.601156069364162,0.634010190319197,-0.0518195471566384
Baylor,Big 12,0.513297872340426,0.405482481666861,0.26589407816179,0.665338645418327,0.634010190319197,0.0494131728125022
Boise State,Mountain West,0.409556313993174,0.405482481666861,0.0100468762782713,0.734177215189873,0.634010190319197,0.15798961341654
Boston College,ACC,0.445190156599553,0.405482481666861,0.0979269801483439,0.785714285714286,0.634010190319197,0.239277061648981
Bowling Green,Mid-American,0.350253807106599,0.405482481666861,-0.13620483512192,0.564102564102564,0.634010190319197,-0.110262622405859
Buffalo,Mid-American,0.275641025641026,0.405482481666861,-0.320214711846691,0.479452054794521,0.634010190319197,-0.243778629877957
BYU,FBS Independents,0.447735191637631,0.405482481666861,0.104203539933654,0.588495575221239,0.634010190319197,-0.0717884598590493
California,Pac-12,0.475409836065574,0.405482481666861,0.172454686849245,0.644230769230769,0.634010190319197,0.016120527820581
Campbell,,0.422857142857143,0.405482481666861,0.0428493510221657,0.51685393258427,0.634010190319197,-0.184786079977585
Central Arkansas,,0.659340659340659,0.405482481666861,0.626064476645789,0.688524590163934,0.634010190319197,0.0859834757818198
Central Michigan,Mid-American,0.345890410958904,0.405482481666861,-0.146965833056425,0.611510791366906,0.634010190319197,-0.0354874405740433
Charlotte,Conference USA,0.424354243542435,0.405482481666861,0.0465414974230122,0.55944055944056,0.634010190319197,-0.11761582387358
Chattanooga,,0.282051282051282,0.405482481666861,-0.304405751657079,0.538461538461538,0.634010190319197,-0.15070523047832
Cincinnati,American Athletic,0.436123348017621,0.405482481666861,0.0755664368650447,0.515981735159817,0.634010190319197,-0.186161763582944
Clemson,ACC,0.488486842105263,0.405482481666861,0.204705170238644,0.726643598615917,0.634010190319197,0.14610712842026
Coastal Carolina,Sun Belt,0.292808219178082,0.405482481666861,-0.27787701709232,0.589041095890411,0.634010190319197,-0.070928030992918
Colorado,Pac-12,0.247349823321555,0.405482481666861,-0.389986412471515,0.676646706586826,0.634010190319197,0.067248944762487
Colorado State,Mountain West,0.34375,0.405482481666861,-0.152244509832065,0.646017699115044,0.634010190319197,0.0189389839141263
Duke,ACC,0.394250513347023,0.405482481666861,-0.027700255443011,0.706319702602231,0.634010190319197,0.114051025341768
East Carolina,American Athletic,0.420918367346939,0.405482481666861,0.0380679471444096,0.650793650793651,0.634010190319197,0.0264719096486513
Eastern Kentucky,,0.427184466019417,0.405482481666861,0.0535213858397632,0.647887323943662,0.634010190319197,0.0218878715773932
Eastern Michigan,Mid-American,0.429577464788732,0.405482481666861,0.059422994115114,0.691729323308271,0.634010190319197,0.0910381786766152
Florida,SEC,0.56260162601626,0.405482481666861,0.387486886495103,0.632575757575758,0.634010190319197,-0.00226247584871951
