season,week,seasonType,firstGameStart,lastGameStart
2021,1,regular,2021-08-28T17:20:00.000Z,2021-09-07T00:00:00.000Z
2021,2,regular,2021-09-10T23:30:00.000Z,2021-09-12T03:00:00.000Z
2021,3,regular,2021-09-17T00:00:00.000Z,2021-09-19T04:30:00.000Z
2021,4,regular,2021-09-23T23:30:00.000Z,2021-09-26T02:30:00.000Z
2021,5,regular,2021-09-30T23:30:00.000Z,2021-10-03T03:00:00.000Z
2021,6,regular,2021-10-07T23:30:00.000Z,2021-10-10T02:30:00.000Z
2021,7,regular,2021-10-12T23:30:00.000Z,2021-10-17T02:30:00.000Z
2021,8,regular,2021-10-20T23:30:00.000Z,2021-10-24T03:59:00.000Z
2021,9,regular,2021-10-28T23:30:00.000Z,2021-10-31T02:30:00.000Z
2021,10,regular,2021-11-02T23:00:00.000Z,2021-11-07T03:00:00.000Z
2021,11,regular,2021-11-10T00:00:00.000Z,2021-11-14T03:30:00.000Z
2021,12,regular,2021-11-17T00:00:00.000Z,2021-11-21T04:00:00.000Z
2021,13,regular,2021-11-24T00:00:00.000Z,2021-11-28T03:30:00.000Z
2021,14,regular,2021-12-04T05:00:00.000Z,2021-12-04T20:30:00.000Z
2021,15,regular,2021-12-11T20:00:00.000Z,2021-12-11T20:00:00.000Z
