list_of_teams,list_of_options,n,opportunities,probability
Abilene Christian,FG,,,0
Abilene Christian,NOSCORE,1,1,1
Abilene Christian,TD,,,0
Air Force,FG,10,48,0.208333333333333
Air Force,NOSCORE,13,48,0.270833333333333
Air Force,TD,25,48,0.520833333333333
Akron,FG,4,27,0.148148148148148
Akron,NOSCORE,8,27,0.296296296296296
Akron,TD,15,27,0.555555555555556
Alabama,FG,15,64,0.234375
Alabama,NOSCORE,7,64,0.109375
Alabama,TD,42,64,0.65625
Alabama State,FG,,,0
Alabama State,NOSCORE,,,0
Alabama State,TD,,,0
Albany,FG,1,2,0.5
Albany,NOSCORE,,,0
Albany,TD,1,2,0.5
Alcorn State,FG,,,0
Alcorn State,NOSCORE,4,6,0.666666666666667
Alcorn State,TD,2,6,0.333333333333333
Appalachian State,FG,14,47,0.297872340425532
Appalachian State,NOSCORE,7,47,0.148936170212766
Appalachian State,TD,26,47,0.553191489361702
Arizona,FG,17,45,0.377777777777778
Arizona,NOSCORE,15,45,0.333333333333333
Arizona,TD,13,45,0.288888888888889
Arizona State,FG,9,52,0.173076923076923
Arizona State,NOSCORE,14,52,0.269230769230769
Arizona State,TD,29,52,0.557692307692308
Arkansas,FG,10,40,0.25
Arkansas,NOSCORE,10,40,0.25
Arkansas,TD,20,40,0.5
Arkansas-Pine Bluff,FG,1,1,1
Arkansas-Pine Bluff,NOSCORE,,,0
Arkansas-Pine Bluff,TD,,,0
Arkansas State,FG,14,33,0.424242424242424
Arkansas State,NOSCORE,4,33,0.121212121212121
Arkansas State,TD,15,33,0.454545454545455
Army,FG,7,44,0.159090909090909
Army,NOSCORE,10,44,0.227272727272727
Army,TD,27,44,0.613636363636364
Auburn,FG,18,50,0.36
Auburn,NOSCORE,7,50,0.14
Auburn,TD,25,50,0.5
Austin Peay,FG,,,0
Austin Peay,NOSCORE,1,2,0.5
Austin Peay,TD,1,2,0.5
Ball State,FG,20,48,0.416666666666667
Ball State,NOSCORE,9,48,0.1875
Ball State,TD,19,48,0.395833333333333
Baylor,FG,8,44,0.181818181818182
Baylor,NOSCORE,12,44,0.272727272727273
Baylor,TD,24,44,0.545454545454545
Bethune-Cookman,FG,,,0
Bethune-Cookman,NOSCORE,1,2,0.5
Bethune-Cookman,TD,1,2,0.5
Boise State,FG,16,41,0.390243902439024
Boise State,NOSCORE,7,41,0.170731707317073
Boise State,TD,18,41,0.439024390243902
Boston College,FG,8,32,0.25
Boston College,NOSCORE,6,32,0.1875
Boston College,TD,18,32,0.5625
Bowling Green,FG,14,37,0.378378378378378
Bowling Green,NOSCORE,7,37,0.189189189189189
Bowling Green,TD,16,37,0.432432432432432
Bryant,FG,,,0
Bryant,NOSCORE,,,0
Bryant,TD,2,2,1
Bucknell,FG,,,0
Bucknell,NOSCORE,,,0
Bucknell,TD,1,1,1
Buffalo,FG,12,41,0.292682926829268
Buffalo,NOSCORE,10,41,0.24390243902439
Buffalo,TD,19,41,0.463414634146342
BYU,FG,9,50,0.18
BYU,NOSCORE,20,50,0.4
BYU,TD,21,50,0.42
Cal Poly,FG,1,2,0.5
Cal Poly,NOSCORE,1,2,0.5
Cal Poly,TD,,,0
California,FG,5,22,0.227272727272727
California,NOSCORE,3,22,0.136363636363636
California,TD,14,22,0.636363636363636
Campbell,FG,,,0
Campbell,NOSCORE,,,0
Campbell,TD,,,0
Central Arkansas,FG,,,0
Central Arkansas,NOSCORE,,,0
Central Arkansas,TD,1,1,1
Central Michigan,FG,13,48,0.270833333333333
Central Michigan,NOSCORE,13,48,0.270833333333333
Central Michigan,TD,22,48,0.458333333333333
Charleston Southern,FG,,,0
Charleston Southern,NOSCORE,2,5,0.4
Charleston Southern,TD,3,5,0.6
Charlotte,FG,7,34,0.205882352941176
Charlotte,NOSCORE,10,34,0.294117647058824
Charlotte,TD,17,34,0.5
Chattanooga,FG,,,0
Chattanooga,NOSCORE,,,0
Chattanooga,TD,,,0
Cincinnati,FG,2,58,0.0344827586206897
Cincinnati,NOSCORE,21,58,0.362068965517241
Cincinnati,TD,35,58,0.603448275862069
Clemson,FG,13,42,0.30952380952381
Clemson,NOSCORE,6,42,0.142857142857143
Clemson,TD,23,42,0.547619047619048
Coastal Carolina,FG,6,49,0.122448979591837
Coastal Carolina,NOSCORE,13,49,0.26530612244898
Coastal Carolina,TD,30,49,0.612244897959184
Colgate,FG,,,0
Colgate,NOSCORE,,,0
Colgate,TD,,,0
Colorado,FG,8,27,0.296296296296296
Colorado,NOSCORE,5,27,0.185185185185185
Colorado,TD,14,27,0.518518518518519
Colorado State,FG,14,34,0.411764705882353
Colorado State,NOSCORE,6,34,0.176470588235294
Colorado State,TD,14,34,0.411764705882353
Connecticut,FG,7,21,0.333333333333333
Connecticut,NOSCORE,8,21,0.380952380952381
Connecticut,TD,6,21,0.285714285714286
Delaware,FG,3,3,1
Delaware,NOSCORE,,,0
Delaware,TD,,,0
Duke,FG,8,39,0.205128205128205
Duke,NOSCORE,16,39,0.41025641025641
Duke,TD,15,39,0.384615384615385
Duquesne,FG,3,5,0.6
Duquesne,NOSCORE,1,5,0.2
Duquesne,TD,1,5,0.2
East Carolina,FG,12,37,0.324324324324324
East Carolina,NOSCORE,10,37,0.27027027027027
East Carolina,TD,15,37,0.405405405405405
Eastern Illinois,FG,,,0
Eastern Illinois,NOSCORE,,,0
Eastern Illinois,TD,,,0
Eastern Kentucky,FG,1,1,1
Eastern Kentucky,NOSCORE,,,0
Eastern Kentucky,TD,,,0
Eastern Michigan,FG,14,49,0.285714285714286
Eastern Michigan,NOSCORE,12,49,0.244897959183673
Eastern Michigan,TD,23,49,0.469387755102041
Elon,FG,,,0
Elon,NOSCORE,,,0
Elon,TD,,,0
Florida,FG,8,51,0.156862745098039
Florida,NOSCORE,9,51,0.176470588235294
Florida,TD,34,51,0.666666666666667
Florida A&M,FG,,,0
Florida A&M,NOSCORE,2,3,0.666666666666667
Florida A&M,TD,1,3,0.333333333333333
Florida Atlantic,FG,7,37,0.189189189189189
Florida Atlantic,NOSCORE,13,37,0.351351351351351
Florida Atlantic,TD,17,37,0.45945945945946
Florida International,FG,4,15,0.266666666666667
Florida International,NOSCORE,6,15,0.4
Florida International,TD,5,15,0.333333333333333
Florida State,FG,6,38,0.157894736842105
Florida State,NOSCORE,9,38,0.236842105263158
Florida State,TD,23,38,0.605263157894737
Fordham,FG,,,0
Fordham,NOSCORE,2,2,1
Fordham,TD,,,0
Fresno State,FG,15,59,0.254237288135593
Fresno State,NOSCORE,11,59,0.186440677966102
Fresno State,TD,33,59,0.559322033898305
Furman,FG,,,0
Furman,NOSCORE,,,0
Furman,TD,,,0
Gardner-Webb,FG,1,4,0.25
Gardner-Webb,NOSCORE,2,4,0.5
Gardner-Webb,TD,1,4,0.25
Georgia,FG,11,57,0.192982456140351
Georgia,NOSCORE,14,57,0.245614035087719
Georgia,TD,32,57,0.56140350877193
Georgia Southern,FG,9,24,0.375
Georgia Southern,NOSCORE,6,24,0.25
Georgia Southern,TD,9,24,0.375
Georgia State,FG,6,24,0.25
Georgia State,NOSCORE,2,24,0.0833333333333333
Georgia State,TD,16,24,0.666666666666667
Georgia Tech,FG,8,34,0.235294117647059
