offense,ypa_Pass_off,ypa_Rush_off,ypa_Pass_def,ypa_Rush_def
Abilene Christian,5.63157894736842,3.59036144578313,9.765625,5.69105691056911
Air Force,8.38095238095238,5.40322580645161,6.30666666666667,3.93809523809524
Akron,3.09195402298851,4.86486486486487,8.59558823529412,6.93886462882096
Alabama,9.88988764044944,5.62857142857143,5.48707753479125,4.11358024691358
Appalachian State,6.40251572327044,6.05916030534351,4.984,5.02625298329356
Arizona,3.68292682926829,5.01190476190476,7.872,5.71615720524018
Arizona State,7.30851063829787,6.52469135802469,5.24698795180723,4.37820512820513
Arkansas,6.76507936507937,4.7075208913649,5.93450881612091,5.16666666666667
Arkansas State,7.61963190184049,4.27374301675978,7.79310344827586,4.28813559322034
Army,3.9047619047619,4.63932107496464,5.02547770700637,4.19653179190751
Auburn,5.38120104438642,5.08355795148248,6.34020618556701,4.7394540942928
Austin Peay,3.12,3.36363636363636,9.68421052631579,5.87671232876712
Ball State,6.57083333333333,4.7557003257329,6.94927536231884,4.83700440528634
Baylor,4.63055555555556,3.66292134831461,5.75451263537906,4.92463768115942
Boise State,6.56779661016949,3.56279069767442,6.14473684210526,4.77238805970149
Boston College,6.82642487046632,4.02341137123746,5.95166163141994,5.37356321839081
Bowling Green,3.16296296296296,5.45251396648045,6.42372881355932,6.77637130801688
Buffalo,8.66666666666667,6.59271523178808,5.43693693693694,4.7088122605364
BYU,9.46923076923077,5.66341463414634,5.3984962406015,3.59079283887468
California,4.34415584415584,4.2781954887218,6.25892857142857,4.96478873239437
Campbell,5.56666666666667,4.17361111111111,9.94520547945205,6.24468085106383
Central Arkansas,4.43137254901961,5.03921568627451,7.13333333333333,4.44047619047619
Central Michigan,5.64516129032258,5.64897959183674,7.22222222222222,3.42608695652174
Charlotte,6.24102564102564,4.6986301369863,6.70588235294118,5.74299065420561
Chattanooga,3.08,3.7,4.80769230769231,4.09375
Cincinnati,7.0096463022508,6.01381215469613,4.31937172774869,4.14153846153846
Clemson,7.54437869822485,5.02307692307692,5.06735751295337,3.92820512820513
Coastal Carolina,8.72,5.11332007952286,4.34430379746835,5.38337801608579
Colorado,6.02732240437159,4.55430711610487,5.6943231441048,5.95027624309392
Colorado State,5.09375,3.97931034482759,6.26811594202899,3.20121951219512
Duke,5.13350785340314,4.18449197860963,6.23364485981308,5.98987341772152
East Carolina,5.60416666666667,4.44027303754266,6.54850746268657,5.6461038961039
Eastern Kentucky,5.78888888888889,3.22619047619048,7.74528301886793,6.28148148148148
Eastern Michigan,6.64953271028037,3.50980392156863,6.66321243523316,5.29213483146067
Florida,8.45808966861599,4.67486338797814,6.44789356984479,5.23543123543124
Florida Atlantic,4.83913043478261,5.06849315068493,5.78455284552846,4.83512544802867
Florida International,2.56849315068493,5.70063694267516,5.59060402684564,5.49765258215962
Florida State,4.51735015772871,6.13664596273292,7.64505119453925,5.24705882352941
Fresno State,7.10740740740741,4.875,5.54545454545455,6.28310502283105
Georgia,6.57846153846154,5.39495798319328,5.15424164524422,3.79775280898876
Georgia Southern,5.50526315789474,5.81059390048154,6.12121212121212,3.84422110552764
Georgia State,6.99053627760252,4.24242424242424,6.16911764705882,4.75308641975309
Georgia Tech,4.88599348534202,5.31413612565445,6.38133333333333,4.94306930693069
Hawai'i,5.17201166180758,5.0777027027027,5.95,5.34615384615385
Houston,6.06070287539936,4.59782608695652,6.94656488549618,5.14930555555556
Houston Baptist,7.40223463687151,4.26086956521739,8.592,5.8062015503876
Illinois,5.27184466019418,5.16828478964401,7.57142857142857,5.42058823529412
Indiana,6.3687707641196,3.26515151515152,4.27666666666667,5.19433198380567
