list_of_teams,list_of_options,n,opportunities,probability
Abilene Christian,FG,1,8,0.125
Abilene Christian,NOSCORE,4,8,0.5
Abilene Christian,TD,3,8,0.375
Air Force,FG,3,16,0.1875
Air Force,NOSCORE,6,16,0.375
Air Force,TD,7,16,0.4375
Akron,FG,3,12,0.25
Akron,NOSCORE,3,12,0.25
Akron,TD,6,12,0.5
Alabama,FG,9,50,0.18
Alabama,NOSCORE,3,50,0.06
Alabama,TD,38,50,0.76
Appalachian State,FG,10,49,0.204081632653061
Appalachian State,NOSCORE,13,49,0.26530612244898
Appalachian State,TD,26,49,0.530612244897959
Arizona,FG,6,17,0.352941176470588
Arizona,NOSCORE,5,17,0.294117647058824
Arizona,TD,6,17,0.352941176470588
Arizona State,FG,2,14,0.142857142857143
Arizona State,NOSCORE,5,14,0.357142857142857
Arizona State,TD,7,14,0.5
Arkansas,FG,4,23,0.173913043478261
Arkansas,NOSCORE,3,23,0.130434782608696
Arkansas,TD,16,23,0.695652173913044
Arkansas State,FG,13,44,0.295454545454545
Arkansas State,NOSCORE,7,44,0.159090909090909
Arkansas State,TD,24,44,0.545454545454545
Army,FG,4,31,0.129032258064516
Army,NOSCORE,7,31,0.225806451612903
Army,TD,20,31,0.645161290322581
Auburn,FG,15,42,0.357142857142857
Auburn,NOSCORE,6,42,0.142857142857143
Auburn,TD,21,42,0.5
Austin Peay,FG,1,1,1
Austin Peay,NOSCORE,,,0
Austin Peay,TD,,,0
Ball State,FG,7,25,0.28
Ball State,NOSCORE,8,25,0.32
Ball State,TD,10,25,0.4
Baylor,FG,10,29,0.344827586206897
Baylor,NOSCORE,8,29,0.275862068965517
Baylor,TD,11,29,0.379310344827586
Bethune-Cookman,FG,,,0
Bethune-Cookman,NOSCORE,,,0
Bethune-Cookman,TD,,,0
Boise State,FG,6,26,0.230769230769231
Boise State,NOSCORE,3,26,0.115384615384615
Boise State,TD,17,26,0.653846153846154
Boston College,FG,12,38,0.315789473684211
Boston College,NOSCORE,8,38,0.210526315789474
Boston College,TD,18,38,0.473684210526316
Bowling Green,FG,5,11,0.454545454545455
Bowling Green,NOSCORE,3,11,0.272727272727273
Bowling Green,TD,3,11,0.272727272727273
Buffalo,FG,3,27,0.111111111111111
Buffalo,NOSCORE,3,27,0.111111111111111
Buffalo,TD,21,27,0.777777777777778
BYU,FG,3,37,0.0810810810810811
BYU,NOSCORE,5,37,0.135135135135135
BYU,TD,29,37,0.783783783783784
California,FG,3,14,0.214285714285714
California,NOSCORE,4,14,0.285714285714286
California,TD,7,14,0.5
Campbell,FG,,,0
Campbell,NOSCORE,2,12,0.166666666666667
Campbell,TD,10,12,0.833333333333333
Central Arkansas,FG,2,10,0.2
Central Arkansas,NOSCORE,4,10,0.4
Central Arkansas,TD,4,10,0.4
Central Michigan,FG,3,17,0.176470588235294
Central Michigan,NOSCORE,5,17,0.294117647058824
Central Michigan,TD,9,17,0.529411764705882
Charlotte,FG,3,18,0.166666666666667
Charlotte,NOSCORE,5,18,0.277777777777778
Charlotte,TD,10,18,0.555555555555556
Chattanooga,FG,,,0
Chattanooga,NOSCORE,2,3,0.666666666666667
Chattanooga,TD,1,3,0.333333333333333
Cincinnati,FG,4,48,0.0833333333333333
Cincinnati,NOSCORE,15,48,0.3125
Cincinnati,TD,29,48,0.604166666666667
Clemson,FG,8,40,0.2
Clemson,NOSCORE,7,40,0.175
Clemson,TD,25,40,0.625
Coastal Carolina,FG,5,47,0.106382978723404
Coastal Carolina,NOSCORE,7,47,0.148936170212766
Coastal Carolina,TD,35,47,0.74468085106383
Colgate,FG,,,0
Colgate,NOSCORE,,,0
Colgate,TD,,,0
Colorado,FG,4,22,0.181818181818182
Colorado,NOSCORE,1,22,0.0454545454545455
Colorado,TD,17,22,0.772727272727273
Colorado State,FG,3,12,0.25
Colorado State,NOSCORE,4,12,0.333333333333333
Colorado State,TD,5,12,0.416666666666667
Connecticut,FG,,,0
Connecticut,NOSCORE,1,2,0.5
Connecticut,TD,1,2,0.5
Duke,FG,5,24,0.208333333333333
Duke,NOSCORE,9,24,0.375
Duke,TD,10,24,0.416666666666667
East Carolina,FG,11,31,0.354838709677419
East Carolina,NOSCORE,8,31,0.258064516129032
East Carolina,TD,12,31,0.387096774193548
Eastern Illinois,FG,,,0
Eastern Illinois,NOSCORE,,,0
Eastern Illinois,TD,,,0
Eastern Kentucky,FG,1,3,0.333333333333333
Eastern Kentucky,NOSCORE,,,0
Eastern Kentucky,TD,2,3,0.666666666666667
Eastern Michigan,FG,6,18,0.333333333333333
Eastern Michigan,NOSCORE,2,18,0.111111111111111
Eastern Michigan,TD,10,18,0.555555555555556
Florida,FG,9,50,0.18
Florida,NOSCORE,5,50,0.1
Florida,TD,36,50,0.72
Florida Atlantic,FG,5,25,0.2
Florida Atlantic,NOSCORE,11,25,0.44
Florida Atlantic,TD,9,25,0.36
Florida International,FG,3,9,0.333333333333333
Florida International,NOSCORE,3,9,0.333333333333333
Florida International,TD,3,9,0.333333333333333
Florida State,FG,6,35,0.171428571428571
Florida State,NOSCORE,9,35,0.257142857142857
Florida State,TD,20,35,0.571428571428571
Fordham,FG,,,0
Fordham,NOSCORE,,,0
Fordham,TD,,,0
Fresno State,FG,9,32,0.28125
Fresno State,NOSCORE,7,32,0.21875
Fresno State,TD,16,32,0.5
Georgia,FG,11,44,0.25
Georgia,NOSCORE,13,44,0.295454545454545
Georgia,TD,20,44,0.454545454545455
Georgia Southern,FG,13,33,0.393939393939394
Georgia Southern,NOSCORE,9,33,0.272727272727273
Georgia Southern,TD,11,33,0.333333333333333
Georgia State,FG,10,27,0.37037037037037
Georgia State,NOSCORE,4,27,0.148148148148148
Georgia State,TD,13,27,0.481481481481482
Georgia Tech,FG,1,35,0.0285714285714286
Georgia Tech,NOSCORE,17,35,0.485714285714286
Georgia Tech,TD,17,35,0.485714285714286
Hawai'i,FG,5,34,0.147058823529412
Hawai'i,NOSCORE,17,34,0.5
Hawai'i,TD,12,34,0.352941176470588
Holy Cross,FG,,,0
Holy Cross,NOSCORE,,,0
Holy Cross,TD,1,1,1
Houston,FG,2,28,0.0714285714285714
Houston,NOSCORE,4,28,0.142857142857143
Houston,TD,22,28,0.785714285714286
Houston Baptist,FG,2,10,0.2
Houston Baptist,NOSCORE,4,10,0.4
