team,conference,elo_rating,week,season,date
Florida State,ACC,1500,0,2000,2000-08-19
Kansas State,Big 12,1500,0,2000,2000-08-19
Louisiana Tech,Conference USA,1200,0,2000,2000-08-19
Texas Tech,Big 12,1500,0,2000,2000-08-19
USC,Pac-12,1500,0,2000,2000-08-19
Oklahoma,Big 12,1500,0,2000,2000-08-19
Florida,SEC,1500,0,2000,2000-08-19
Marshall,Conference USA,1200,0,2000,2000-08-19
Southern Mississippi,Conference USA,1200,0,2000,2000-08-19
UNLV,Mountain West,1200,0,2000,2000-08-19
Georgia,SEC,1500,0,2000,2000-08-19
Boston College,ACC,1500,0,2000,2000-08-19
East Carolina,American Athletic,1200,0,2000,2000-08-19
West Virginia,Big 12,1500,0,2000,2000-08-19
Iowa State,Big 12,1500,0,2000,2000-08-19
NC State,ACC,1500,0,2000,2000-08-19
Boise State,Mountain West,1200,0,2000,2000-08-19
Wisconsin,Big Ten,1500,0,2000,2000-08-19
Colorado State,Mountain West,1200,0,2000,2000-08-19
Georgia Tech,ACC,1500,0,2000,2000-08-19
Oregon,Pac-12,1500,0,2000,2000-08-19
Nebraska,Big Ten,1500,0,2000,2000-08-19
Mississippi State,SEC,1500,0,2000,2000-08-19
Air Force,Mountain West,1200,0,2000,2000-08-19
South Carolina,SEC,1500,0,2000,2000-08-19
Virginia Tech,ACC,1500,0,2000,2000-08-19
Washington,Pac-12,1500,0,2000,2000-08-19
Michigan,Big Ten,1500,0,2000,2000-08-19
Oregon State,Pac-12,1500,0,2000,2000-08-19
Miami,ACC,1500,0,2000,2000-08-19
San Diego State,Mountain West,1200,0,2000,2000-08-19
Auburn,SEC,1500,0,2000,2000-08-19
North Texas,Conference USA,1200,0,2000,2000-08-19
Wake Forest,ACC,1500,0,2000,2000-08-19
Northwestern,Big Ten,1500,0,2000,2000-08-19
Duke,ACC,1500,0,2000,2000-08-19
Eastern Michigan,Mid-American,1200,0,2000,2000-08-19
Illinois,Big Ten,1500,0,2000,2000-08-19
LSU,SEC,1500,0,2000,2000-08-19
Louisville,ACC,1500,0,2000,2000-08-19
Vanderbilt,SEC,1500,0,2000,2000-08-19
Minnesota,Big Ten,1500,0,2000,2000-08-19
Ole Miss,SEC,1500,0,2000,2000-08-19
Memphis,American Athletic,1200,0,2000,2000-08-19
Missouri,SEC,1500,0,2000,2000-08-19
North Carolina,ACC,1500,0,2000,2000-08-19
Notre Dame,FBS Independents,1500,0,2000,2000-08-19
Ohio State,Big Ten,1500,0,2000,2000-08-19
Pittsburgh,ACC,1500,0,2000,2000-08-19
Purdue,Big Ten,1500,0,2000,2000-08-19
Rice,Conference USA,1200,0,2000,2000-08-19
Rutgers,Big Ten,1500,0,2000,2000-08-19
Louisiana,Sun Belt,1200,0,2000,2000-08-19
South Florida,American Athletic,1200,0,2000,2000-08-19
SMU,American Athletic,1200,0,2000,2000-08-19
Syracuse,ACC,1500,0,2000,2000-08-19
Navy,American Athletic,1200,0,2000,2000-08-19
Tennessee,SEC,1500,0,2000,2000-08-19
Penn State,Big Ten,1500,0,2000,2000-08-19
UCLA,Pac-12,1500,0,2000,2000-08-19
Washington State,Pac-12,1500,0,2000,2000-08-19
Utah,Pac-12,1500,0,2000,2000-08-19
Arkansas,SEC,1500,0,2000,2000-08-19
New Mexico,Mountain West,1200,0,2000,2000-08-19
Virginia,ACC,1500,0,2000,2000-08-19
Clemson,ACC,1500,0,2000,2000-08-19
Cincinnati,American Athletic,1200,0,2000,2000-08-19
UAB,Conference USA,1200,0,2000,2000-08-19
Army,FBS Independents,1500,0,2000,2000-08-19
California,Pac-12,1500,0,2000,2000-08-19
UCF,American Athletic,1200,0,2000,2000-08-19
Connecticut,American Athletic,1200,0,2000,2000-08-19
Kentucky,SEC,1500,0,2000,2000-08-19
Maryland,Big Ten,1500,0,2000,2000-08-19
Michigan State,Big Ten,1500,0,2000,2000-08-19
Idaho,,500,0,2000,2000-08-19
Indiana,Big Ten,1500,0,2000,2000-08-19
Northern Illinois,Mid-American,1200,0,2000,2000-08-19
Arizona,Pac-12,1500,0,2000,2000-08-19
Tulsa,American Athletic,1200,0,2000,2000-08-19
Bowling Green,Mid-American,1200,0,2000,2000-08-19
Hawai'i,Mountain West,1200,0,2000,2000-08-19
