id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores,home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores,away_post_win_prob,excitement_index
63068,2000,1,regular,2000-08-26T00:00:00Z,,FALSE,,,,,52,Florida State,ACC,29,"",,252,BYU,Mountain West,3,"",,
63069,2000,1,regular,2000-08-26T00:00:00Z,,FALSE,,,,,2306,Kansas State,Big 12,27,"",,2294,Iowa,Big Ten,7,"",,
63070,2000,1,regular,2000-08-26T00:00:00Z,,FALSE,,,,,2348,Louisiana Tech,FBS Independents,63,"",,2400,Mississippi Valley State,,10,"",,
63071,2000,1,regular,2000-08-26T00:00:00Z,,FALSE,,,,,2641,Texas Tech,Big 12,24,"",,167,New Mexico,Mountain West,3,"",,
63072,2000,1,regular,2000-08-27T00:00:00Z,,FALSE,,,,,30,USC,Pac-10,29,"",,213,Penn State,Big Ten,5,"",,
63744,2000,1,postseason,2000-12-02T00:00:00Z,,TRUE,TRUE,,,,201,Oklahoma,Big 12,27,"",,2306,Kansas State,Big 12,24,"",,
63740,2000,1,postseason,2000-12-02T00:00:00Z,,TRUE,TRUE,,,,57,Florida,SEC,28,"",,2,Auburn,SEC,6,"",,
63741,2000,1,postseason,2000-12-02T00:00:00Z,,TRUE,TRUE,,,,276,Marshall,Mid-American,19,"",,2711,Western Michigan,Mid-American,14,"",,
63745,2000,1,postseason,2000-12-20T00:00:00Z,,TRUE,,,,,2572,Southern Mississippi,Conference USA,28,"",,2628,TCU,Western Athletic,21,"",,
63746,2000,1,postseason,2000-12-21T00:00:00Z,,TRUE,,,,,2439,UNLV,Mountain West,31,"",,8,Arkansas,SEC,14,"",,
63747,2000,1,postseason,2000-12-24T00:00:00Z,,TRUE,,,,,61,Georgia,SEC,37,"",,258,Virginia,ACC,14,"",,
63748,2000,1,postseason,2000-12-25T00:00:00Z,,TRUE,,,,,103,Boston College,Big East,31,"",,9,Arizona State,Pac-10,17,"",,
63749,2000,1,postseason,2000-12-27T00:00:00Z,,TRUE,,,,,151,East Carolina,Conference USA,40,"",,2641,Texas Tech,Big 12,27,"",,
63750,2000,1,postseason,2000-12-27T00:00:00Z,,TRUE,,,,,276,Marshall,Mid-American,25,"",,2132,Cincinnati,Conference USA,14,"",,
63754,2000,1,postseason,2000-12-28T00:00:00Z,,TRUE,,,,,277,West Virginia,Big East,49,"",,145,Ole Miss,SEC,38,"",,
63752,2000,1,postseason,2000-12-28T00:00:00Z,,TRUE,,,,,66,Iowa State,Big 12,37,"",,221,Pittsburgh,Big East,29,"",,
63753,2000,1,postseason,2000-12-28T00:00:00Z,,TRUE,,,,,152,NC State,ACC,38,"",,135,Minnesota,Big Ten,30,"",,
63751,2000,1,postseason,2000-12-28T00:00:00Z,,TRUE,,,,,68,Boise State,Big West,38,"",,2638,UTEP,Western Athletic,23,"",,
63758,2000,1,postseason,2000-12-29T00:00:00Z,,TRUE,,,,,275,Wisconsin,Big Ten,21,"",,26,UCLA,Pac-10,20,"",,
63755,2000,1,postseason,2000-12-29T00:00:00Z,,TRUE,,,,,36,Colorado State,Mountain West,22,"",,97,Louisville,Conference USA,17,"",,
63756,2000,1,postseason,2000-12-29T00:00:00Z,,TRUE,,,,,59,Georgia Tech,ACC,14,"",,99,LSU,SEC,28,"",,
63757,2000,1,postseason,2000-12-29T00:00:00Z,,TRUE,,,,,2483,Oregon,Pac-10,35,"",,251,Texas,Big 12,30,"",,
63759,2000,1,postseason,2000-12-30T00:00:00Z,,TRUE,,,,,158,Nebraska,Big 12,66,"",,77,Northwestern,Big Ten,17,"",,
63761,2000,1,postseason,2000-12-31T00:00:00Z,,TRUE,,,,,344,Mississippi State,SEC,43,"",,245,Texas A&M,Big 12,41,"",,
63760,2000,1,postseason,2000-12-31T00:00:00Z,,TRUE,,,,,2005,Air Force,Mountain West,37,"",,278,Fresno State,Western Athletic,34,"",,
63765,2000,1,postseason,2001-01-01T00:00:00Z,,TRUE,,,,,2579,South Carolina,SEC,24,"",,194,Ohio State,Big Ten,7,"",,
63766,2000,1,postseason,2001-01-01T00:00:00Z,,TRUE,,,,,259,Virginia Tech,Big East,41,"",,228,Clemson,ACC,20,"",,
63762,2000,1,postseason,2001-01-01T00:00:00Z,,TRUE,,,,,2306,Kansas State,Big 12,35,"",,2633,Tennessee,SEC,21,"",,
63767,2000,1,postseason,2001-01-01T00:00:00Z,,TRUE,,,,,264,Washington,Pac-10,34,"",,2509,Purdue,Big Ten,24,"",,
63763,2000,1,postseason,2001-01-01T00:00:00Z,,TRUE,,,,,130,Michigan,Big Ten,31,"",,2,Auburn,SEC,28,"",,
63764,2000,1,postseason,2001-01-01T00:00:00Z,,TRUE,,,,,204,Oregon State,Pac-10,41,"",,87,Notre Dame,FBS Independents,9,"",,
63768,2000,1,postseason,2001-01-02T00:00:00Z,,TRUE,,,,,2390,Miami,Big East,37,"",,57,Florida,SEC,20,"",,
63769,2000,1,postseason,2001-01-03T00:00:00Z,,TRUE,,,,,201,Oklahoma,Big 12,13,"",,52,Florida State,ACC,2,"",,
63080,2000,2,regular,2000-08-31T00:00:00Z,,FALSE,,,,,275,Wisconsin,Big Ten,19,"",,2711,Western Michigan,Mid-American,7,"",,
63074,2000,2,regular,2000-08-31T00:00:00Z,,FALSE,,,,,21,San Diego State,Mountain West,7,"",,9,Arizona State,Pac-10,10,"",,
63075,2000,2,regular,2000-08-31T00:00:00Z,,FALSE,,,,,2,Auburn,SEC,35,"",,2751,Wyoming,Mountain West,21,"",,
63076,2000,2,regular,2000-08-31T00:00:00Z,,FALSE,,,,,249,North Texas,Big West,7,"",,239,Baylor,Big 12,20,"",,
63077,2000,2,regular,2000-08-31T00:00:00Z,,FALSE,,,,,276,Marshall,Mid-American,63,"",,2546,Southeast Missouri State,,7,"",,
63078,2000,2,regular,2000-08-31T00:00:00Z,,FALSE,,,,,2390,Miami,Big East,61,"",,2377,McNeese,,14,"",,
63073,2000,2,regular,2000-08-31T00:00:00Z,,FALSE,,,,,154,Wake Forest,ACC,16,"",,2026,Appalachian State,,20,"",,
63079,2000,2,regular,2000-08-31T00:00:00Z,,FALSE,,,,,77,Northwestern,Big Ten,35,"",,2459,Northern Illinois,Mid-American,17,"",,
63088,2000,2,regular,2000-09-02T00:00:00Z,,FALSE,,,,,150,Duke,ACC,0,"",,151,East Carolina,Conference USA,38,"",,
63089,2000,2,regular,2000-09-02T00:00:00Z,,FALSE,,,,,2199,Eastern Michigan,Mid-American,32,"",,41,Connecticut,FBS Independents,25,"",,
63090,2000,2,regular,2000-09-02T00:00:00Z,,FALSE,,,,,57,Florida,SEC,40,"",,2050,Ball State,Mid-American,19,"",,
